Group,Task,Run,Item,Desc,Passed
B,2,5,2-17,잔여율 < 30% 최우선 출고,True
B,2,5,2-18,잔여율 < 10% 출고 불가,False
B,2,5,2-19,HAZMAT zone 전용 피킹,True
B,2,5,2-20,max_pick_qty 제한,True
B,2,5,2-21,HAZMAT+FRESH 분리 출고,True
B,2,5,2-22,부분출고 70% 기준,True
B,2,5,2-23,긴급발주 트리거 (30~70%),True
B,2,5,2-24,전량 백오더 (< 30%),True
B,2,5,2-25,안전재고 체크,True
B,2,5,2-26,안전재고 트리거 기록,True
B,2,5,2-27,보관유형 불일치 경고,True
B,2,5,2-28,피킹 응답에 backorder 포함,True
B,3,1,3-1,단일 트랜잭션,True
B,3,1,3-2,롤백 처리,True
B,3,1,3-3,동일 로케이션 거부,True
B,3,1,3-4,출발지 재고 부족 체크,True
B,3,1,3-5,도착지 용량 체크,True
B,3,1,3-6,출발지 location.current_qty 차감,True
B,3,1,3-7,도착지 location.current_qty 증가,True
B,3,1,3-8,기존 레코드 병합,True
B,3,1,3-9,received_at 보존,True
B,3,1,3-10,이력 기록,True
B,3,1,3-11,실사 동결 체크 (출발지),True
B,3,1,3-12,실사 동결 체크 (도착지),True
B,3,1,3-13,보관유형 호환 체크,True
B,3,1,3-14,HAZMAT zone 체크,True
B,3,1,3-15,혼적 금지 (HAZMAT→비HAZMAT),True
B,3,1,3-16,혼적 금지 (비HAZMAT→HAZMAT),True
B,3,1,3-17,유통기한 < 10% 이동 제한,True
B,3,1,3-18,유통기한 만료 이동 불가,True
B,3,1,3-19,대량 이동 승인 (80%),True
B,3,1,3-20,안전재고 체크,True
B,3,2,3-1,단일 트랜잭션,True
B,3,2,3-2,롤백 처리,True
B,3,2,3-3,동일 로케이션 거부,True
B,3,2,3-4,출발지 재고 부족 체크,True
B,3,2,3-5,도착지 용량 체크,True
B,3,2,3-6,출발지 location.current_qty 차감,True
B,3,2,3-7,도착지 location.current_qty 증가,True
B,3,2,3-8,기존 레코드 병합,True
B,3,2,3-9,received_at 보존,True
B,3,2,3-10,이력 기록,True
B,3,2,3-11,실사 동결 체크 (출발지),True
B,3,2,3-12,실사 동결 체크 (도착지),True
B,3,2,3-13,보관유형 호환 체크,True
B,3,2,3-14,HAZMAT zone 체크,True
